1,-90682,28757,31021,0,0,0
2,-78879,10455,40034,0,0,0
3,-66460,-3267,47658,0,0,0
4,-42855,-24838,53898,0,0,0
5,-37888,-38561,60483,0,0,0
6,-30434,-45097,62563,0,0,0
7,-9938,-56208,56324,0,0,0
8,6210,-67319,49738,0,0,0
9,24843,-77123,36220,0,0,0
10,40992,-87580,26862,0,0,0
11,49066,-95424,22009,0,0,0
12,56520,-87580,9531,0,0,0
13,68321,-79084,-520,0,0,0
14,75774,-59476,-8145,0,0,0
15,84469,-43790,-18197,0,0,0
16,92544,-44444,-23743,0,0,0
17,90060,-30065,-30329,0,0,0
18,78879,-11764,-38994,0,0,0
19,64594,3267,-46273,0,0,0
20,41613,26143,-52859,0,0,0
21,34781,37907,-61177,0,0,0
22,29191,43789,-61178,0,0,0
23,9936,54246,-54938,0,0,0
24,-6832,67318,-48700,0,0,0
25,-27329,77122,-34835,0,0,0
26,-44099,88233,-27556,0,0,0
27,-50310,94769,-21317,0,0,0
28,-57763,87579,-8839,0,0,0
29,-69564,78429,1559,0,0,0
30,-77639,60129,10224,0,0,0
31,-85092,43789,19930,0,0,0
32,-93166,43136,24435,0,0,0
33,-89440,29410,31715,0,0,0
34,-79501,11110,40380,0,0,0
35,-66459,-3921,48352,0,0,0
36,-42856,-25490,54591,0,0,0
37,-37888,-38561,61523,0,0,0
38,-29813,-45751,62217,0,0,0
39,-9938,-56862,55977,0,0,0
40,5589,-67973,49738,0,0,0
41,24222,-76469,35873,0,0,0
42,42234,-89541,28248,0,0,0
43,48445,-94770,21662,0,0,0
44,57762,-87580,9878,0,0,0
45,68321,-77776,-173,0,0,0
46,77016,-58823,-8492,0,0,0
47,85090,-43790,-18544,0,0,0
48,93786,-43790,-24436,0,0,0
49,89438,-29411,-30675,0,0,0
50,79500,-11111,-39687,0,0,0
51,63973,3267,-46620,0,0,0
52,40992,25489,-54245,0,0,0
53,35402,38560,-61871,0,0,0
54,29191,44443,-62217,0,0,0
55,9315,54900,-55978,0,0,0
56,-7453,67972,-49393,0,0,0
57,-26087,77122,-35528,0,0,0
58,-44720,88886,-27556,0,0,0
59,-50931,94769,-20970,0,0,0
60,-58384,86925,-9185,0,0,0
61,-69564,78429,1212,0,0,0
62,-78260,58168,10224,0,0,0
63,-84470,43789,19583,0,0,0
64,-94409,43136,24782,0,0,0
65,-89439,29410,31714,0,0,0
66,-79502,9802,40033,0,0,0
67,-65217,-3267,47659,0,0,0
68,-42235,-26144,54591,0,0,0
69,-38509,-37907,62216,0,0,0
70,-29813,-44444,62216,0,0,0
71,-9317,-56862,56324,0,0,0
72,6210,-69280,49392,0,0,0
73,24843,-76469,34834,0,0,0
74,43477,-89541,27555,0,0,0
75,49066,-94770,21316,0,0,0
76,57762,-87580,8838,0,0,0
77,68320,-78430,-173,0,0,0
78,76395,-60130,-8145,0,0,0
79,84469,-43790,-18544,0,0,0
80,94407,-43791,-24436,0,0,0
81,88817,-29411,-30676,0,0,0
82,78258,-11111,-39687,0,0,0
83,64594,4574,-46620,0,0,0
84,40992,26796,-53899,0,0,0
85,35402,38560,-61524,0,0,0
86,28570,45097,-61871,0,0,0
87,8073,54900,-55285,0,0,0
88,-7453,67318,-49393,0,0,0
89,-26708,77122,-35528,0,0,0
90,-45341,89540,-27556,0,0,0
91,-50931,94769,-20624,0,0,0
92,-57142,86925,-7799,0,0,0
93,-69564,77775,1905,0,0,0
94,-78881,59475,10224,0,0,0
95,-85713,43789,19583,0,0,0
96,-94409,43790,25129,0,0,0
97,-90061,28103,31714,0,0,0
98,-79502,9803,40380,0,0,0
99,-65217,-4575,47312,0,0,0
100,-42856,-26144,55284,0,0,0
101,-37888,-38561,61870,0,0,0
102,-29192,-45097,61870,0,0,0
103,-8074,-56862,55630,0,0,0
104,6210,-69934,48699,0,0,0
105,25464,-77776,35180,0,0,0
106,42855,-89541,27555,0,0,0
107,49688,-95423,21663,0,0,0
108,57141,-86926,9531,0,0,0
109,68942,-79084,-520,0,0,0
110,76395,-60130,-9185,0,0,0
111,85090,-42482,-18891,0,0,0
112,94407,-43791,-24436,0,0,0
113,88817,-29411,-31369,0,0,0
114,78879,-10457,-40034,0,0,0
115,65216,5881,-47660,0,0,0
116,40370,26796,-54938,0,0,0
117,36024,38560,-61524,0,0,0
118,27949,45097,-61871,0,0,0
119,8073,54900,-55285,0,0,0
120,-8074,68625,-49046,0,0,0
121,-27329,77775,-34834,0,0,0
122,-44720,89540,-27556,0,0,0
123,-50931,94769,-20277,0,0,0
124,-57763,86272,-8492,0,0,0
125,-70185,77776,1905,0,0,0
126,-77639,58822,10571,0,0,0
127,-85092,43789,20276,0,0,0
128,-93787,42482,24782,0,0,0
129,-89440,26796,31714,0,0,0
130,-80123,9803,41420,0,0,0
131,-64596,-5228,48005,0,0,0
132,-40993,-27451,55284,0,0,0
133,-37888,-38561,61870,0,0,0
134,-29192,-45751,62217,0,0,0
135,-8696,-58169,55630,0,0,0
136,7452,-68626,49045,0,0,0
137,26086,-77777,34834,0,0,0
138,42234,-88887,27555,0,0,0
139,49688,-96077,21316,0,0,0
140,57762,-88887,9184,0,0,0
141,68942,-79084,-173,0,0,0
142,76395,-58823,-8492,0,0,0
143,84469,-43790,-19237,0,0,0
144,93786,-43791,-24090,0,0,0
145,88817,-28104,-31715,0,0,0
146,78258,-10457,-40381,0,0,0
147,63352,5228,-46620,0,0,0
148,40992,26796,-54245,0,0,0
149,36645,38560,-61524,0,0,0
150,27328,45097,-61524,0,0,0
151,8073,55554,-54938,0,0,0
152,-8074,69279,-48006,0,0,0
153,-27950,78429,-34835,0,0,0
154,-45341,88886,-27209,0,0,0
155,-50931,94769,-20624,0,0,0
156,-58384,86925,-8492,0,0,0
157,-70185,77122,1559,0,0,0
158,-78260,58822,11264,0,0,0
159,-85092,43135,20623,0,0,0
160,-93787,43136,25129,0,0,0
161,-89440,26796,32061,0,0,0
162,-78880,10456,40726,0,0,0
163,-63974,-4575,48352,0,0,0
164,-42235,-27451,55284,0,0,0
165,-36645,-37907,62216,0,0,0
166,-29192,-45751,61870,0,0,0
167,-6832,-57515,55977,0,0,0
168,6831,-69934,48699,0,0,0
169,25464,-78430,35180,0,0,0
170,43476,-89541,27208,0,0,0
171,49687,-94770,20276,0,0,0
172,57762,-87580,8491,0,0,0
173,70805,-78430,-520,0,0,0
174,77637,-58823,-9185,0,0,0
175,85090,-43790,-19584,0,0,0
176,93786,-43791,-24090,0,0,0
177,88196,-28104,-31369,0,0,0
178,78258,-10457,-39687,0,0,0
179,62731,5881,-46966,0,0,0
180,40371,27450,-55632,0,0,0
181,35402,39214,-62217,0,0,0
182,27328,45750,-62218,0,0,0
183,8073,56207,-55631,0,0,0
184,-8074,68625,-48700,0,0,0
185,-27950,77775,-35528,0,0,0
186,-45341,90193,-27556,0,0,0
187,-50931,95422,-20277,0,0,0
188,-59005,86925,-8145,0,0,0
189,-71427,77776,1905,0,0,0
190,-78881,58168,10917,0,0,0
191,-86334,43789,20623,0,0,0
192,-94408,44443,25475,0,0,0
193,-89440,26796,32408,0,0,0
194,-79501,9803,41420,0,0,0
195,-65217,-5229,48352,0,0,0
196,-40993,-26797,55977,0,0,0
197,-38509,-38561,62909,0,0,0
198,-28571,-45097,62910,0,0,0
199,-8696,-58823,55977,0,0,0
200,6831,-69280,49392,0,0,0
201,26707,-79084,35527,0,0,0
202,43476,-89540,27902,0,0,0
203,49687,-96077,21316,0,0,0
204,59004,-88887,9184,0,0,0
205,70805,-78430,-867,0,0,0
206,78259,-59476,-9532,0,0,0
207,85711,-43790,-19237,0,0,0
208,94407,-43791,-24436,0,0,0
209,90059,-28104,-31369,0,0,0
210,78879,-9804,-40381,0,0,0
211,63352,6535,-48006,0,0,0
212,40371,26796,-55632,0,0,0
213,34160,39868,-62564,0,0,0
214,27328,46404,-62218,0,0,0
215,7452,56207,-55978,0,0,0
216,-8695,68625,-49046,0,0,0
217,-29814,79083,-34141,0,0,0
218,-44720,90193,-27210,0,0,0
219,-50310,95423,-20277,0,0,0
220,-59005,85618,-7799,0,0,0
221,-70185,77122,2599,0,0,0
